size,team,complexity,effort
97,11,4,499.60612960657045
456,4,4,10700.039935921912
111,9,6,2408.04913449286
265,15,3,5828.479922570981
342,19,6,7758.698408338982
148,16,7,3042.259046411643
221,3,3,6071.376397737124
409,11,7,7954.146323225319
263,3,3,4228.8328357112
84,18,2,2746.2095548661305
498,9,4,9407.102638330827
276,2,8,5232.95779777164
150,10,9,4988.315892459887
480,12,7,6738.153433238713
180,17,1,8036.435354540009
306,8,3,2863.4396222288215
54,11,9,8598.753788497914
267,4,1,6745.790553221921
304,19,9,7531.939281039581
447,14,8,7289.8583149043625
408,8,1,9587.853926661988
332,5,6,5274.702626241946
442,14,5,7814.151447713803
256,2,6,8190.0080160922535
64,9,5,2641.8191304227635
395,15,6,8317.563122045181
91,17,5,3805.7539649693413
429,15,5,7761.5710975753145
228,13,4,5481.721142108055
112,16,3,2772.9508086051874
401,3,3,7250.164124246665
280,3,4,5456.75013339693
290,18,9,7425.416748957745
101,11,2,3180.5600388251587
145,7,9,3144.081150106443
437,16,1,8185.452205870815
271,12,1,5689.0796854978635
456,6,5,6250.650733261553
280,2,6,4711.146771322765
286,9,6,6279.736669462
192,13,3,6071.1509936755465
220,13,7,5909.880223354481
78,6,9,6459.857223252142
85,8,8,2236.9519317876616
62,5,6,3849.305501552253
209,7,8,5481.882359431342
376,14,5,4288.3779438002675
236,16,8,7272.963861737431
292,4,4,2866.908142974424
135,9,8,4721.3280819340835
333,17,2,7079.198148651175
115,14,5,357.48839698213624
219,19,9,2758.126491680403
94,11,4,4268.978300943007
111,18,6,4922.666471623857
490,6,1,11504.878970644759
183,10,9,3366.745325947123
333,13,1,6510.125966851465
77,2,5,1859.707019413958
157,2,4,4220.274259018937
